split,class_name,label,subtype,group,path,sha256
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/WIN_20260707_13_41_28_Pro.jpg,Foam-Heavy/WIN_20260707_13_41_28_Pro.jpg,2da49dc0a40e7da3ac063e58131207578c906b71c82925d36a6036411517e6ab
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/WIN_20260707_13_41_38_Pro.jpg,Foam-Heavy/WIN_20260707_13_41_38_Pro.jpg,7e53b3bf757dffcd84bf5fd1df7c032e49e3186043e2b6b28b3e7a2923da92d8
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0028.jpg,Foam-Heavy/frame_0028.jpg,a33240864d6c8261120baeb49f19392570c31408dd65be415270cf48d1fee005
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0001.jpg,Foam-Heavy/frame_0001.jpg,ccf1451d6bdf00c92bee32391da25762480419694b118909549866ba0c166d8e
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0015.jpg,Foam-Heavy/frame_0015.jpg,c5310138cb30c0509c25146d5a529844f88fd9822644c3ee07cd7f818cbf2551
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0003.jpg,Foam-Heavy/frame_0003.jpg,7556238e139f01b6ef38122a8f0c3e13d100108e677a4b10d3c5f0529b7e4610
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0017.jpg,Foam-Heavy/frame_0017.jpg,14063b6aaaaf2aaf1c0ff99f87557997404ddc569686441df16bc5a2399a0346
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/WIN_20260707_13_41_43_Pro.jpg,Foam-Heavy/WIN_20260707_13_41_43_Pro.jpg,28ad8cafd92b88b6a78e4b6a10154d14821ccbe16dc9e330bffb4a821dca8945
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/WIN_20260707_13_40_18_Pro.jpg,Foam-Heavy/WIN_20260707_13_40_18_Pro.jpg,9ca235481d4ef9b706e9f0f4e10f2839c14a2cc9cfe8bd2e3cd52c89bef6a55c
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0016.jpg,Foam-Heavy/frame_0016.jpg,2b8868fcbdc3f83b25c38a14f69d39dd7ad69a39650871cf4ed7b5f554a2b948
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0006.jpg,Foam-Heavy/frame_0006.jpg,237e08cce3fe08293dc8b3bbc85e95e29737a7dc867f613dce22cba24fe4a23d
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0012.jpg,Foam-Heavy/frame_0012.jpg,f6c239f8ff0a81ab588b1a78b73b3ab3e91288332549f813850ebceee0bbcce1
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/WIN_20260707_13_41_30_Pro.jpg,Foam-Heavy/WIN_20260707_13_41_30_Pro.jpg,0d0c15edf3f28b71153452ec339dac880798acf15d7c2773281a7348b7f3c946
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0007.jpg,Foam-Heavy/frame_0007.jpg,fb1863977cb73dce6f04765646850bfd231a32a7b3fce6f2ddbac5ad74ea0cc9
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0005.jpg,Foam-Heavy/frame_0005.jpg,bcc4114d7a7f046100eae00b0aa2df4eb6224fe582c8193b31e1e7ce3ad2e072
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0039.jpg,Foam-Heavy/frame_0039.jpg,ba75e047cb10fda376d554e48c575eed1d9ba6f25c7c59745c7ba5b148219079
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/WIN_20260707_13_40_10_Pro.jpg,Foam-Heavy/WIN_20260707_13_40_10_Pro.jpg,b23a3cac220d1a44123dd2318eef91475fecd71247ee3a2556dc7a09b7eff7e6
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/WIN_20260707_13_39_56_Pro.jpg,Foam-Heavy/WIN_20260707_13_39_56_Pro.jpg,6165659f0dfd17ef3a8ed1b515c0feabb2de2c44eb8b7212976513ed047a4228
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0038.jpg,Foam-Heavy/frame_0038.jpg,7af59a1aa9c6b6716b7081acc5ae0e0d6e9245368b3590ccdc606d2910fcdb18
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0010.jpg,Foam-Heavy/frame_0010.jpg,2ce2691d1fbdc63bcd138cc9af8406e423545c040324114ed696f6afed47e065
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0088.jpg,Foam-Heavy/frame_0088.jpg,7150153eeaf8de52257ec33a857b1a9a6cf118585e5b90a6ee083ff093ba25f7
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0103.jpg,Foam-Heavy/frame_0103.jpg,298b4c4c4491d25e09d93a456fc07089f942c021e8df9ccbc19f06361cdf4ca8
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0117.jpg,Foam-Heavy/frame_0117.jpg,c79d22ea903de413302a757e7252ece7c11a9cded4a44f27d6311351a5218f83
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0116.jpg,Foam-Heavy/frame_0116.jpg,6792ec3cdeaff370e3e222c29041348b7c5ecd5ec490f264e27266e71f67533e
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0102.jpg,Foam-Heavy/frame_0102.jpg,bceb34886beffddd54f4eb76cd33cfc81640c2851d6f0e4645da44f0b9bdce96
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0062.jpg,Foam-Heavy/frame_0062.jpg,5088e6cbf162b00567f9793ce1e37bf7fe85fcfb038ab133e18d97fc66e15697
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0076.jpg,Foam-Heavy/frame_0076.jpg,91d26fd55c8aad2c4b3bc93dd0719cbc016315d5c91b382e6755dfe1ea53fae0
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0089.jpg,Foam-Heavy/frame_0089.jpg,b7b6019b040e0cb58f08c3756fffcb78f26ab6a2e66f60ae98fadb23a9530b64
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0048.jpg,Foam-Heavy/frame_0048.jpg,b77e6fcc3ff1a27b7a1688fa8312b97194a2bddd1099d6b3b46c9bf83a14a6a6
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0060.jpg,Foam-Heavy/frame_0060.jpg,1818ca3521cd3c969b70d7b73c3c2a26950588b4d22a9a51de7f8c56b0ba37c4
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0074.jpg,Foam-Heavy/frame_0074.jpg,cbc6560af633ddd8789c424b6621263532c16cda54190f5786b13d549943c81b
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/IMG_5520.png,Foam-Heavy/IMG_5520.png,2b6e40ee343855d4500def76642a33fe2cc05968a0cdaf7705a93b94d8f1fd6b
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0128.jpg,Foam-Heavy/frame_0128.jpg,2ba84de0785294b73ca0baef700d2add71aab9e606ae3aac7ad7aa0fc0e4cfef
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/WIN_20260707_13_38_52_Pro.jpg,Foam-Heavy/WIN_20260707_13_38_52_Pro.jpg,da9e0e7bff7ebb80312b28719a25846492159d94cf492e04b828fd8cd4197c35
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0100.jpg,Foam-Heavy/frame_0100.jpg,37f426fb6f50ab328dc041780ac7b4b28dfafc44d2d9d873fd64c4fb60270b5f
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0101.jpg,Foam-Heavy/frame_0101.jpg,e8fed71f559f5dda1f71e45942c46cc6fdb360e83a67d96ddeeec11a4260472e
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0115.jpg,Foam-Heavy/frame_0115.jpg,d793afa21bb7e6aefaa352f947b3d1b0c0bd10056f029b98a9ccef54489ae769
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/IMG_5509.png,Foam-Heavy/IMG_5509.png,d0723f69c38c4dda4e6508edfa99b4bb594f7618be872b51057d91a16832c3b8
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0075.jpg,Foam-Heavy/frame_0075.jpg,60eb55474d543fa04ad5913804c9a74a6f2a381cb3060c9a351678b70e3a43e6
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0065.jpg,Foam-Heavy/frame_0065.jpg,6c20abe11af7f3c1ea068ab7f2a0f1345d7920a9f033acf4a09db41cd72ac2c9
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0059.jpg,Foam-Heavy/frame_0059.jpg,91f5b29db1aac265d56e887dd0f40aed122d8867e2590000593201cf1c2472c4
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/WIN_20260707_13_40_03_Pro.jpg,Foam-Heavy/WIN_20260707_13_40_03_Pro.jpg,69aa6cbf4ed1e64526cf56cc7fdf6a745277bacb89d7a267bd88f39467d1f789
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/WIN_20260707_13_40_13_Pro.jpg,Foam-Heavy/WIN_20260707_13_40_13_Pro.jpg,de1180f798bfc39467ded393d016497d79dc9db9958828a2804a2c012cdf74e1
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/IMG_5519.png,Foam-Heavy/IMG_5519.png,035c64dffbf4d1310c32412696bd6170e694f0337a927a699ced54437da63d42
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0105.jpg,Foam-Heavy/frame_0105.jpg,9ede61e068bc35a1cfa030773531c0bf58de8668c61971634410bda487744d54
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0110.jpg,Foam-Heavy/frame_0110.jpg,e8b0964427a1639f11c0f4a92a3b9c9900c53c5aead946b88cfeaa345fad3701
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/IMG_5518.png,Foam-Heavy/IMG_5518.png,cbd377fba1738b9ae11a1168870322abbb903c4cfeeb4f43c3b36e024179ac91
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0058.jpg,Foam-Heavy/frame_0058.jpg,87dbe068a11be2b681263445e9fcef14a46a217ccc29f31c0fa08425bbf89133
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0070.jpg,Foam-Heavy/frame_0070.jpg,bde316dc5e40acff84e018b5883ab9912d09211efeaaa8253b839448ba2380bb
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0064.jpg,Foam-Heavy/frame_0064.jpg,1586a82a3a5df7a24fd2f5834f0ce43d00728eb3937892b45c6120f05ca242c0
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/WIN_20260707_13_41_33_Pro.jpg,Foam-Heavy/WIN_20260707_13_41_33_Pro.jpg,d68b12bf876328926e6729571367ad22e0c6be8eeaf166303f01ddc2c0079d01
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/WIN_20260707_13_41_41_Pro.jpg,Foam-Heavy/WIN_20260707_13_41_41_Pro.jpg,ce97345d15ed35781de384904870d8168506d32f28006eb592d6e22735c8936c
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0106.jpg,Foam-Heavy/frame_0106.jpg,a15d8e08f9c6812657ad15964dbd033f6da73c5dd5572c55a91eb0007cdbf29b
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0113.jpg,Foam-Heavy/frame_0113.jpg,01978d44d3183698069b8a427b26fd14d5a497ded2ce85dfe85b1ac80b49be90
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0067.jpg,Foam-Heavy/frame_0067.jpg,6b8957f1411f925f7203963aa966d6a043754b96216a8c6278a794d567860002
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0098.jpg,Foam-Heavy/frame_0098.jpg,3d82a3e4edd7c902d63460f1c92b6f0a6fdc3bad263dbf0197bf3aec3b427b6c
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0095.jpg,Foam-Heavy/frame_0095.jpg,1eee172d218fc3cc0e12445dc9661c9d9a07a6c9c5a148da2ed18d232a0470c7
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0081.jpg,Foam-Heavy/frame_0081.jpg,9758b89c7f363601e9786c4b68926df1142936d3113621e614e4d746fb394298
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0056.jpg,Foam-Heavy/frame_0056.jpg,cfe761e949ca188dbd8d3c8587abb69680bd1dd0ce1ebfdcc9a2c53fcbf38d13
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0042.jpg,Foam-Heavy/frame_0042.jpg,4db93109eaf77bafddf38835a11c286ada4eeab78c4a0d4c6a14b923ea63013f
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/IMG_5517.png,Foam-Heavy/IMG_5517.png,2eacaa4adc7d4b1921295bfc704a5784b9953769f26b6cfe7d2ea265ce1d5fee
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0080.jpg,Foam-Heavy/frame_0080.jpg,e8a391c1d0361f58a0e49d5725f5c08f94382f47ec33b06da85743019faabb45
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0094.jpg,Foam-Heavy/frame_0094.jpg,e69929013c5ada7daedc88aa918e4df3fdb5083bd0a83b49c7892a57f5192f59
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0096.jpg,Foam-Heavy/frame_0096.jpg,3926a295a597e20a02fb34dc1e5eb850704f735df8db16dab661790119dd0a2e
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0069.jpg,Foam-Heavy/frame_0069.jpg,6ef571df0650c1cbcaac3d2b8932a0b17c1d1c574f71c9f7ed470d73d1d6a706
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0041.jpg,Foam-Heavy/frame_0041.jpg,016aa3b39daf212c94ab9a1b6d947e0246687356151aa1d33ee70bc0836e9240
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0121.jpg,Foam-Heavy/frame_0121.jpg,a841715ea27bed03155ffeaadfb10fbf86df028f0caeff54980fec27584521d6
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0120.jpg,Foam-Heavy/frame_0120.jpg,72a86773e980b8d63e96174bf56fc50e5cdd31dac8e0e9d21c1311fbc9211def
train,Foam-Heavy,0,root,Foam-Heavy::root::Foam-Heavy/frame_0108.jpg,Foam-Heavy/frame_0108.jpg,079b4c818e96d8eb1096a603e6a7623fc4801898c0ebd032f5c5af99d7209e10
